タスク名(シフト名),リンク
ヒーローショー,https://docs.google.com/document/d/1uHeIsMm-7niWlZmnrp_LtVvy1zU8DAV5KuSIUob3DcA/edit
ヒーローショー出演者マニュアル,https://docs.google.com/document/d/1lqOhgJPf8cKVS_kPAVFr5--g4cS4BiHlLBrg6WkUXBU/edit
麻雀大会マニュアル,https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit
ポーカー大会マニュアル,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit
学籍番号抽選会(雨天時),https://docs.google.com/document/d/1CA_8SlpiPxVwum_Gbpyp4uMT59Igrp7DQJaDhZ9m7Zs/edit
学籍番号抽選会(晴天時),https://docs.google.com/document/d/1CA_8SlpiPxVwum_Gbpyp4uMT59Igrp7DQJaDhZ9m7Zs/edit
ゲーム大会マニュアル,https://docs.google.com/document/d/1NibPgowh6lGWb_jWZlNV4NpR8op9crBl/edit
カラオケ大会マニュアル,https://docs.google.com/document/d/1cV6lGC4eS-G7T1vHtcAaCOg7q6tLsN6R_ETgW7za8KQ/edit
技大祭ドキュメンタリー撮影マニュアル,https://docs.google.com/document/d/1xT9m0VPOzYo-UQR57fRzPHJ1sarpqd2tsTm2Y0hSoxE/edit
